longitude,latitude,crop_flow_lb_s,datetime,duration ,distance_in,swth_wdth_in,moisture,status,pass_num,serial_number,field,dataset,product,elevation_ft
-85.36858,42.410851,4.99,2013-07-24 16:56:06+00,1,63,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.36858,42.410864,5.49,2013-07-24 16:56:05+00,1,62,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.36858,42.410878,5.29,2013-07-24 16:56:04+00,1,62,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.36858,42.410895,5.09,2013-07-24 16:56:03+00,1,62,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.36858,42.410909,5.99,2013-07-24 16:56:02+00,1,62,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.36858,42.410923,5.99,2013-07-24 16:56:01+00,1,62,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.36858,42.410937,5.39,2013-07-24 16:56:00+00,1,62,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.36858,42.410953,5.79,2013-07-24 16:55:59+00,1,62,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.36858,42.410967,6.49,2013-07-24 16:55:58+00,1,62,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.36858,42.410981,6.49,2013-07-24 16:55:57+00,1,62,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.36858,42.410995,6.99,2013-07-24 16:55:56+00,1,62,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.368583,42.411009,7.19,2013-07-24 16:55:55+00,1,62,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.368583,42.411026,7.69,2013-07-24 16:55:54+00,1,62,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.368583,42.411039,6.39,2013-07-24 16:55:53+00,1,62,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.368583,42.411053,5.39,2013-07-24 16:55:52+00,1,62,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.368583,42.411067,4.39,2013-07-24 16:55:51+00,1,63,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.368583,42.411084,3.09,2013-07-24 16:55:50+00,1,58,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.368583,42.411098,3.09,2013-07-24 16:55:49+00,1,44,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.368583,42.411106,2.49,2013-07-24 16:55:48+00,1,35,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.368583,42.411114,2.49,2013-07-24 16:55:47+00,1,16,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.368583,42.41112,2.89,2013-07-24 16:55:46+00,1,8,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.368583,42.41112,2.89,2013-07-24 16:55:45+00,1,8,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.368583,42.41112,2.89,2013-07-24 16:55:44+00,1,16,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.368577,42.41115,1.79,2013-07-24 16:55:43+00,1,63,180,11.52,0,9,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.5
-85.368572,42.411164,1.29,2013-07-24 16:55:42+00,1,63,180,11.52,0,9,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.5
